us-gaap:operatingleaserightofuseassetstatementoffinancialpositionextensiblelist,i0dc4fee6389a45cfaf1b2c28d7258d49_i20210925,http://fasb.org/us-gaap/2021-01-31#OtherAssetsNoncurrent
us-gaap:operatingleaserightofuseassetstatementoffinancialpositionextensiblelist,i6d507af9a8294eb39264b0e7c0c0b226_i20200926,http://fasb.org/us-gaap/2021-01-31#OtherAssetsNoncurrent
us-gaap:financeleaserightofuseassetstatementoffinancialpositionextensiblelist,i0dc4fee6389a45cfaf1b2c28d7258d49_i20210925,http://fasb.org/us-gaap/2021-01-31#PropertyPlantAndEquipmentNet
us-gaap:financeleaserightofuseassetstatementoffinancialpositionextensiblelist,i6d507af9a8294eb39264b0e7c0c0b226_i20200926,http://fasb.org/us-gaap/2021-01-31#PropertyPlantAndEquipmentNet
us-gaap:operatingleaseliabilitycurrentstatementoffinancialpositionextensiblelist,i0dc4fee6389a45cfaf1b2c28d7258d49_i20210925,http://fasb.org/us-gaap/2021-01-31#OtherLiabilitiesCurrent
us-gaap:operatingleaseliabilitycurrentstatementoffinancialpositionextensiblelist,i6d507af9a8294eb39264b0e7c0c0b226_i20200926,http://fasb.org/us-gaap/2021-01-31#OtherLiabilitiesCurrent
us-gaap:operatingleaseliabilitynoncurrentstatementoffinancialpositionextensiblelist,i0dc4fee6389a45cfaf1b2c28d7258d49_i20210925,http://fasb.org/us-gaap/2021-01-31#OtherLiabilitiesNoncurrent
us-gaap:operatingleaseliabilitynoncurrentstatementoffinancialpositionextensiblelist,i6d507af9a8294eb39264b0e7c0c0b226_i20200926,http://fasb.org/us-gaap/2021-01-31#OtherLiabilitiesNoncurrent
us-gaap:financeleaseliabilitycurrentstatementoffinancialpositionextensiblelist,i0dc4fee6389a45cfaf1b2c28d7258d49_i20210925,http://fasb.org/us-gaap/2021-01-31#OtherLiabilitiesCurrent
us-gaap:financeleaseliabilitycurrentstatementoffinancialpositionextensiblelist,i6d507af9a8294eb39264b0e7c0c0b226_i20200926,http://fasb.org/us-gaap/2021-01-31#OtherLiabilitiesCurrent
us-gaap:financeleaseliabilitynoncurrentstatementoffinancialpositionextensiblelist,i0dc4fee6389a45cfaf1b2c28d7258d49_i20210925,http://fasb.org/us-gaap/2021-01-31#OtherLiabilitiesNoncurrent
us-gaap:financeleaseliabilitynoncurrentstatementoffinancialpositionextensiblelist,i6d507af9a8294eb39264b0e7c0c0b226_i20200926,http://fasb.org/us-gaap/2021-01-31#OtherLiabilitiesNoncurrent
us-gaap:otherassetscurrent,i0dc4fee6389a45cfaf1b2c28d7258d49_i20210925,"14,111"
us-gaap:otherassetscurrent,i6d507af9a8294eb39264b0e7c0c0b226_i20200926,"11,264"
us-gaap:assetscurrent,i0dc4fee6389a45cfaf1b2c28d7258d49_i20210925,"134,836"
us-gaap:assetscurrent,i6d507af9a8294eb39264b0e7c0c0b226_i20200926,"143,713"
us-gaap:otherassetsnoncurrent,i0dc4fee6389a45cfaf1b2c28d7258d49_i20210925,"48,849"
us-gaap:otherassetsnoncurrent,i6d507af9a8294eb39264b0e7c0c0b226_i20200926,"42,522"
us-gaap:assetsnoncurrent,i0dc4fee6389a45cfaf1b2c28d7258d49_i20210925,"216,166"
us-gaap:assetsnoncurrent,i6d507af9a8294eb39264b0e7c0c0b226_i20200926,"180,175"
