aapl:derivativeliabilitiesreductionformasternettingarrangements,fi2018q4,2100000000
aapl:derivativeliabilitiesreductionformasternettingarrangements,fi2019q4,2700000000
us-gaap:otherassetscurrent,fi2019q4,"12,352"
us-gaap:otherassetscurrent,fi2018q4,"12,087"
us-gaap:assetscurrent,fi2019q4,"162,819"
us-gaap:assetscurrent,fi2018q4,"131,339"
us-gaap:otherassetsnoncurrent,fi2019q4,"32,978"
us-gaap:otherassetsnoncurrent,fi2018q4,"22,283"
us-gaap:assetsnoncurrent,fi2019q4,"175,697"
us-gaap:assetsnoncurrent,fi2018q4,"234,386"
us-gaap:assets,fi2019q4,"338,516"
us-gaap:assets,fi2018q4,"365,725"
us-gaap:otherliabilitiescurrent,fi2019q4,"37,720"
us-gaap:otherliabilitiescurrent,fi2018q4,"33,327"
us-gaap:contractwithcustomerliabilitycurrent,fi2019q4,"5,522"
us-gaap:contractwithcustomerliabilitycurrent,fi2018q4,"5,966"
us-gaap:liabilitiescurrent,fi2019q4,"105,718"
us-gaap:liabilitiescurrent,fi2018q4,"115,929"
us-gaap:otherliabilitiesnoncurrent,fi2019q4,"50,503"
us-gaap:otherliabilitiesnoncurrent,fi2018q4,"48,914"
us-gaap:liabilitiesnoncurrent,fi2019q4,"142,310"
us-gaap:liabilitiesnoncurrent,fi2018q4,"142,649"
us-gaap:liabilities,fi2019q4,"248,028"
us-gaap:liabilities,fi2018q4,"258,578"
us-gaap:stockholdersequity,fi2019q4,"90,488"
us-gaap:stockholdersequity,fi2018q4,"107,147"
us-gaap:liabilitiesandstockholdersequity,fi2019q4,"338,516"
us-gaap:liabilitiesandstockholdersequity,fi2018q4,"365,725"
us-gaap:stockholdersequity,fi2018q4,"107,147"
us-gaap:stockholdersequity,fi2017q4,"134,047"
us-gaap:stockholdersequity,fi2016q4,"128,249"
us-gaap:stockholdersequity,fi2018q4_us-gaap_statementequitycomponentsaxis_us-gaap_commonstockincludingadditionalpaidincapitalmember,"40,201"
us-gaap:stockholdersequity,fi2017q4_us-gaap_statementequitycomponentsaxis_us-gaap_commonstockincludingadditionalpaidincapitalmember,"35,867"
us-gaap:stockholdersequity,fi2016q4_us-gaap_statementequitycomponentsaxis_us-gaap_commonstockincludingadditionalpaidincapitalmember,"31,251"
us-gaap:stockholdersequity,fi2019q4_us-gaap_statementequitycomponentsaxis_us-gaap_commonstockincludingadditionalpaidincapitalmember,"45,174"
us-gaap:stockholdersequity,fi2018q4_us-gaap_statementequitycomponentsaxis_us-gaap_commonstockincludingadditionalpaidincapitalmember,"40,201"
us-gaap:stockholdersequity,fi2017q4_us-gaap_statementequitycomponentsaxis_us-gaap_commonstockincludingadditionalpaidincapitalmember,"35,867"
us-gaap:stockholdersequity,fi2018q4_us-gaap_statementequitycomponentsaxis_us-gaap_retainedearningsmember,"70,400"
us-gaap:stockholdersequity,fi2017q4_us-gaap_statementequitycomponentsaxis_us-gaap_retainedearningsmember,"98,330"
us-gaap:stockholdersequity,fi2016q4_us-gaap_statementequitycomponentsaxis_us-gaap_retainedearningsmember,"96,364"
us-gaap:stockholdersequity,fi2019q4_us-gaap_statementequitycomponentsaxis_us-gaap_retainedearningsmember,"45,898"
us-gaap:stockholdersequity,fi2018q4_us-gaap_statementequitycomponentsaxis_us-gaap_retainedearningsmember,"70,400"
